Jenis Peta;Nama Gunung;Kabupaten/Kota;Bahaya Luas (Ha) Rendah;Bahaya Luas (Ha) Sedang;Bahaya Luas (Ha) Tinggi;Bahaya Luas (Ha) Total;Kelas Bahaya
Peta risiko letusan gunung api iyang argopuro;gunung api iyang argopuro;JEMBER;3.441;1.398;868;5.707;TINGGI
Peta risiko letusan gunung api iyang argopuro;gunung api iyang argopuro;BONDOWOSO;444;17;0;461;SEDANG
Peta risiko letusan gunung api iyang argopuro;gunung api iyang argopuro;SITUBONDO;840;96;0;935;SEDANG
Peta risiko letusan gunung api iyang argopuro;gunung api iyang argopuro;PROBOLINGGO;8.980;3.171;2.947;15.098;TINGGI
Peta risiko letusan gunung api iyang argopuro;gunung api iyang argopuro;Provinsi Jawa Timur;13.704;4.682;3.815;22.201;TINGGI
