Jenis Peta;Nama Gunung;Kabupaten/Kota;Bahaya Luas (Ha) Rendah;Bahaya Luas (Ha) Sedang;Bahaya Luas (Ha) Tinggi;Bahaya Luas (Ha) Total;Kelas Bahaya
Peta risiko letusan gunung api wilis;gunung api wilis;PONOROGO;3.422;139;9;3.570;TINGGI
Peta risiko letusan gunung api wilis;gunung api wilis;TRENGGALEK;370;0;0;370;RENDAH
Peta risiko letusan gunung api wilis;gunung api wilis;TULUNGAGUNG;5.115;735;1.360;7.211;TINGGI
Peta risiko letusan gunung api wilis;gunung api wilis;KEDIRI;4.511;545;749;5.806;TINGGI
Peta risiko letusan gunung api wilis;gunung api wilis;NGANJUK;2.197;0;0;2.197;RENDAH
Peta risiko letusan gunung api wilis;gunung api wilis;KOTA KEDIRI;5;0;0;5;RENDAH
Peta risiko letusan gunung api wilis;gunung api wilis;Provinsi Jawa Timur;15.620;1.420;2.118;19.158;TINGGI
