Jenis Peta;Nama Gunung;Kabupaten/Kota;Bahaya Luas (Ha) Rendah;Bahaya Luas (Ha) Sedang;Bahaya Luas (Ha) Tinggi;Bahaya Luas (Ha) Total;Kelas Bahaya
Peta risiko letusan gunung api raung;gunung api raung;JEMBER;5.843;1.772;614;8.229;TINGGI
Peta risiko letusan gunung api raung;gunung api raung;BANYUWANGI;10.449;26.653;3.264;40.366;TINGGI
Peta risiko letusan gunung api raung;gunung api raung;BONDOWOSO;9.030;5.034;2.464;16.528;TINGGI
Peta risiko letusan gunung api raung;gunung api raung;Provinsi Jawa Timur;25.321;33.460;6.342;65.123;TINGGI
