Jenis Peta;Nama Gunung;Kabupaten/Kota;Bahaya Luas (Ha) Rendah;Bahaya Luas (Ha) Sedang;Bahaya Luas (Ha) Tinggi;Bahaya Luas (Ha) Total;Kelas Bahaya
Peta risiko letusan gunung api lawu;gunung api lawu;MAGETAN;5.060;4.282;0;9.341;SEDANG
Peta risiko letusan gunung api lawu;gunung api lawu;NGAWI;5.456;2.170;0;7.626;SEDANG
Peta risiko letusan gunung api lawu;gunung api lawu;Provinsi Jawa Timur;10.515;6.452;-;16.967;SEDANG
